PRJNA362706,SRR5208537,flower,anther__Darmor_bzh,allopolyploid,Impact_evaluation_of_homoeologous_exchanges_in_gene_expression_in_an_allopolyploid_crop
PRJNA362706,SRR5208538,flower,anther__Darmor_bzh,allopolyploid,Impact_evaluation_of_homoeologous_exchanges_in_gene_expression_in_an_allopolyploid_crop
PRJNA362706,SRR5208540,flower,anther__Darmor_bzh,allopolyploid,Impact_evaluation_of_homoeologous_exchanges_in_gene_expression_in_an_allopolyploid_crop
PRJNA378682,SRR5331895,Stem,stem___bolting_stage,branch_angle,The_study_of_branch_angle
PRJNA378682,SRR5331949,Stem,stem___bolting_stage,branch_angle,The_study_of_branch_angle
PRJNA378682,SRR5331950,Stem,stem___beginning_of_florescence,branch_angle,The_study_of_branch_angle
PRJNA378682,SRR5331997,Stem,stem___beginning_of_florescence,branch_angle,The_study_of_branch_angle
PRJNA390000,SRR5665895,Leaf,leaf,flowering_time_(leaf_stem),The_genetic_architecture_and_gene_regulation_of_flowering_time
PRJNA390000,SRR5674588,Leaf,leaf,flowering_time_(leaf_stem),The_genetic_architecture_and_gene_regulation_of_flowering_time
PRJNA390000,SRR5674589,Stem,shoot_apexes,flowering_time_(leaf_stem),The_genetic_architecture_and_gene_regulation_of_flowering_time
PRJNA390000,SRR5674590,Stem,shoot_apexes,flowering_time_(leaf_stem),The_genetic_architecture_and_gene_regulation_of_flowering_time
PRJNA470566,SRR7135733,Seed,endosperm___9Y,endosperm_development,Gene_expression_in_developing_rapeseed_endosperms_from_reciprocal_crosses_between_inbred_lines_YN171_and_93276
PRJNA470566,SRR7135734,Seed,endosperm___Y9,endosperm_development,Gene_expression_in_developing_rapeseed_endosperms_from_reciprocal_crosses_between_inbred_lines_YN171_and_93277
PRJNA470566,SRR7135735,Seed,endosperm___Y9,endosperm_development,Gene_expression_in_developing_rapeseed_endosperms_from_reciprocal_crosses_between_inbred_lines_YN171_and_93278
