BioProject ID,Run ID,Organ,Treatment,Experiment,Description
PRJNA718104,SRR14089760,Shoot,CL339_Sh,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089759,Root,H159_Cd_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089758,Root,H159_Cd_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089757,Root,H159_Cd_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089756,Shoot,H159_Cd_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089755,Shoot,H159_Cd_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089754,Shoot,H159_Cd_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089753,Root,L339_Cd_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089752,Root,L339_Cd_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089750,Root,L339_Cd_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089749,Shoot,L339_Cd_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089748,Shoot,L339_Cd_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089747,Shoot,L339_Cd_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089746,Root,Mock_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089745,Root,Mock_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089744,Root,Mock_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089743,Shoot,Mock_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089742,Shoot,Mock_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089741,Shoot,Mock_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089739,Root,TH159_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089738,Root,TH159_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089737,Root,TH159_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089736,Shoot,TH159_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089735,Shoot,TH159_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089734,Shoot,TH159_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089733,Root,TL339_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089732,Root,TL339_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089731,Root,TL339_Root,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089730,Shoot,TL339_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089728,Shoot,TL339_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA718104,SRR14089727,Shoot,TL339_Shoot,Salt - Cultivar - Organ,Transcriptome sequencing of rapeseed plants (salinity-resistant genotype (H159) and a salinitysensitive genotype (L339)) to salt stress (T: treatment and C: control), which is used to identify the differentially expressed genes responsive to 200 mM NaCl.
PRJNA672970,SRR12926420,Seeds,Control_30d,Drought - Days after floweering,Transcriptome analyses to reveal changes in seed oil content under drought stress in Brassica napus L. (rape). Samples were taken 30, 40 and 50 days (30d, 40d, and 50d) after flowering under drought stress 
PRJNA672970,SRR12926421,Seeds,Control_40d,Drought - Days after floweering,Transcriptome analyses to reveal changes in seed oil content under drought stress in Brassica napus L. (rape). Samples were taken 30, 40 and 50 days (30d, 40d, and 50d) after flowering under drought stress 
PRJNA672970,SRR12926422,Seeds,Control_50d,Drought - Days after floweering,Transcriptome analyses to reveal changes in seed oil content under drought stress in Brassica napus L. (rape). Samples were taken 30, 40 and 50 days (30d, 40d, and 50d) after flowering under drought stress 
