BioProject ID	Run ID	Organ	Stage-Cultivar	Experiment	Description
PRJNA602979	SRR11013346	seed	CQ464S-seed	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013345	silique pericarp	CQ461P-silique pericarp	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013344	silique pericarp	CQ461P-silique pericarp	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013343	seed	CQ461S-seed	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013342	seed	CQ461S-seed	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013341	silique pericarp	CQ241P-silique pericarp	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013340	silique pericarp on branch	CQ46-30CP-silique-branch	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013339	silique pericarp on branch	CQ46-30CP-silique-branch	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013338	seed on branch	CQ46-30CS-seed on branch	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013337	seed on branch	CQ46-30CS-seed on branch	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013336	silique pericarp	CQ46-40P-silique pericarp	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013335	silique pericarp	CQ46-40P-silique pericarp	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013334	seed	CQ46-40S-seed	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013333	seed	CQ46-40S-seed	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013332	silique pericarp	CQ46-7P-silique pericarp	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013331	silique pericarp	CQ46-7P-silique pericarp	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013330	silique pericarp	CQ241P-silique pericarp	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013329	seed	CQ46-7S-seed	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013328	seed	CQ46-7S-seed	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013327	silique pericarp on branch	CQ52-30CP-silique-branch	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013326	silique pericarp on branch	CQ52-30CP-silique-branch	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013325	seed on branch	CQ52-30CS-seed on branch	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013324	seed on branch	CQ52-30CS-seed on branch	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013323	seed	CQ241S-seed	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013322	seed	CQ241S-seed	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013321	silique pericarp on branch	CQ24-30CP-silique-branch	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA602979	SRR11013320	silique pericarp on branch	CQ24-30CP-silique-branch	Harvest index (HI-stem-leaaf-silique-seed)	mRNA profiling to identify genes and pathways involved Harvest index (HI) formation in B.napus
PRJNA563565	SRR10058961	seed coat	WT_35DAF	seed color and development	The Brassica napus seed RNA-seq data for different seed color (yellow:aacc and black:WT) and different seed development period (14DAF and 35DAF).
PRJNA563565	SRR10058962	seed coat	WT_35DAF	seed color and development	The Brassica napus seed RNA-seq data for different seed color (yellow:aacc and black:WT) and different seed development period (14DAF and 35DAF).
PRJNA563565	SRR10058953	seed coat	WT_35DAF	seed color and development	The Brassica napus seed RNA-seq data for different seed color (yellow:aacc and black:WT) and different seed development period (14DAF and 35DAF).
PRJNA563565	SRR10058954	seed coat	WT_14DAF	seed color and development	The Brassica napus seed RNA-seq data for different seed color (yellow:aacc and black:WT) and different seed development period (14DAF and 35DAF).
PRJNA563565	SRR10058955	seed coat	WT_14DAF	seed color and development	The Brassica napus seed RNA-seq data for different seed color (yellow:aacc and black:WT) and different seed development period (14DAF and 35DAF).
PRJNA563565	SRR10058956	seed coat	WT_14DAF	seed color and development	The Brassica napus seed RNA-seq data for different seed color (yellow:aacc and black:WT) and different seed development period (14DAF and 35DAF).
PRJNA563565	SRR10058957	seed coat	aacc_35DAF	seed color and development	The Brassica napus seed RNA-seq data for different seed color (yellow:aacc and black:WT) and different seed development period (14DAF and 35DAF).
PRJNA563565	SRR10058958	seed coat	aacc_35DAF	seed color and development	The Brassica napus seed RNA-seq data for different seed color (yellow:aacc and black:WT) and different seed development period (14DAF and 35DAF).
PRJNA563565	SRR10058959	seed coat	aacc_35DAF	seed color and development	The Brassica napus seed RNA-seq data for different seed color (yellow:aacc and black:WT) and different seed development period (14DAF and 35DAF).
PRJNA563565	SRR10058960	seed coat	aacc_14DAF	seed color and development	The Brassica napus seed RNA-seq data for different seed color (yellow:aacc and black:WT) and different seed development period (14DAF and 35DAF).
PRJNA563565	SRR10058963	seed coat	aacc_14DAF	seed color and development	The Brassica napus seed RNA-seq data for different seed color (yellow:aacc and black:WT) and different seed development period (14DAF and 35DAF).
PRJNA563565	SRR10058964	seed coat	aacc_14DAF	seed color and development	The Brassica napus seed RNA-seq data for different seed color (yellow:aacc and black:WT) and different seed development period (14DAF and 35DAF).
PRJNA599502	SRR10848755	Bud	APSP_Bud	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848754	Bud	APSP_Bud	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848753	Petal	APSP_Petal1	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848752	Petal	APSP_Petal1	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848751	Petal	CPSP_Petal1	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848750	Petal	CPSP_Petal1	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848749	Petal	CPSP_Petal1	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848748	Petal	O271_Petal1	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848747	Petal	O271_Petal1	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848746	Petal	O271_Petal1	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848745	Petal	APSP_Petal2	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848744	Petal	APSP_Petal2	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848743	Bud	APSP_Bud	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848742	Petal	APSP_Petal2	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848741	Petal	CPSP_Petal2	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848740	Petal	CPSP_Petal2	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848739	Petal	CPSP_Petal2	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848738	Petal	O271_Petal2	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848737	Petal	O271_Petal2	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848736	Petal	O271_Petal2	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848735	Bud	CPSP_Bud	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848734	Bud	CPSP_Bud	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848733	Bud	CPSP_Bud	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848732	Bud	O271_Bud	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848731	Bud	O271_Bud	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848730	Bud	O271_Bud	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA599502	SRR10848729	Petal	APSP_Petal1	different colour of bud and petal	RNA-seq data for two different colour Brassica napus bud and petal (within orange and yellow). CPSP: C Genetically modified material (yellow petal), APSP: A Genetically modified material (yellow petal), and O271: Transgenic receptor (orange petal)
PRJNA578690	SRR10317710	shoot apex	Apex Heated	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317717	shoot apex	Apex Heated	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317738	shoot apex	Apex Heated	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317730	shoot apex	Apex UnHeated	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317750	shoot apex	Apex UnHeated	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317751	shoot apex	Apex UnHeated	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317735	shoot apex	Time1	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317736	shoot apex	Time1	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317737	shoot apex	Time1	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317722	shoot apex	Time10	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317723	shoot apex	Time10	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317724	shoot apex	Time10	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317719	shoot apex	Time11	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317720	shoot apex	Time11	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317721	shoot apex	Time11	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317718	shoot apex	Time12	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317742	shoot apex	Time12	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317716	shoot apex	Time12	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317739	shoot apex	Time13	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317740	shoot apex	Time13	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317741	shoot apex	Time13	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317733	shoot apex	Time2	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317748	shoot apex	Time2	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317749	shoot apex	Time2	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317745	shoot apex	Time3	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317746	shoot apex	Time3	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317747	shoot apex	Time3	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317734	shoot apex	Time4	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317743	shoot apex	Time4	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317744	shoot apex	Time4	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317731	shoot apex	Time5	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317732	shoot apex	Time5	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317729	shoot apex	Time5	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317726	shoot apex	Time6	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317727	shoot apex	Time6	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317728	shoot apex	Time6	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317725	shoot apex	Time7	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317714	shoot apex	Time7	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317715	shoot apex	Time7	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317711	shoot apex	Time8	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317712	shoot apex	Time8	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317713	shoot apex	Time8	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317707	shoot apex	Time9	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317708	shoot apex	Time9	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA578690	SRR10317709	shoot apex	Time9	Vernalisation and floral transition	Vernalisation and floral transition in autumn drive winter-annual life history in oilseed rape
PRJNA559661	SRR9944837	first ture leaf	ZS11-D11-FTL	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
PRJNA559661	SRR9944824	first ture leaf	ZS11-D11-FTL	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
PRJNA559661	SRR9944823	first ture leaf	ZS11-D11-FTL	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
PRJNA559661	SRR9944835	first ture leaf	ZY-4-D11-FTL	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
PRJNA559661	SRR9944846	first ture leaf	ZY-4-D11-FTL	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
PRJNA559661	SRR9944847	first ture leaf	ZY-4-D11-FTL	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
PRJNA559661	SRR9944816	first ture leaf	ZY-8-D11-FTL	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
PRJNA559661	SRR9944815	first ture leaf	ZY-8-D11-FTL	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
PRJNA559661	SRR9944818	first ture leaf	ZY-8-D11-FTL	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
PRJNA559661	SRR9944812	first ture leaf	ZS11-D13-FTL	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
PRJNA559661	SRR9944856	first ture leaf	ZS11-D13-FTL	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
PRJNA559661	SRR9944825	first ture leaf	ZS11-D13-FTL	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
PRJNA559661	SRR9944848	first ture leaf	ZY-4-D13-FTL	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
PRJNA559661	SRR9944849	first ture leaf	ZY-4-D13-FTL	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
PRJNA559661	SRR9944850	first ture leaf	ZY-4-D13-FTL	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
PRJNA559661	SRR9944817	first ture leaf	ZY-8-D13-FTL	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
PRJNA559661	SRR9944814	first ture leaf	ZY-8-D13-FTL	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
PRJNA559661	SRR9944813	first ture leaf	ZY-8-D13-FTL	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
PRJNA559661	SRR9944843	top shoot	ZS11-D7-TSH	carotene biosynthesis (leaf-top shoot-cotyledon)	The transcriptomes comparision of ZY-4 and ZY-8 (two variegated mutants) to ZS11 (conventional cultivar) for cotyledons of seven days after seeded (7 DAS), shoot meristem of 7 DAS, first true leaf of 9 DAS, first true leaf of 11 DAS, and first true leaf of 13 DAS to underestand carotene biosynthesis
