BioProject ID	Run ID	Organ	Trait-Cultivar	Experiment	Description
PRJNA554517	SRR9694960	leaf	PR	Transgenic lines (BnaPAP2.A7-Anthocyanin Biosynthesis)	Transcriptome analysis of positive and negative transgenic lines (for BnaPAP2.A7) of Brassica napus L. wz: transgenic plants with full-length BnaPAP2. A7, wz395: transgenic plants with 395 isoform and wz910: transgenic plants with 910 isoforms.
PRJNA554517	SRR9694959	leaf	W395	Transgenic lines (BnaPAP2.A7-Anthocyanin Biosynthesis)	Transcriptome analysis of positive and negative transgenic lines (for BnaPAP2.A7) of Brassica napus L. wz: transgenic plants with full-length BnaPAP2. A7, wz395: transgenic plants with 395 isoform and wz910: transgenic plants with 910 isoforms.
PRJNA554517	SRR9694958	leaf	W395	Transgenic lines (BnaPAP2.A7-Anthocyanin Biosynthesis)	Transcriptome analysis of positive and negative transgenic lines (for BnaPAP2.A7) of Brassica napus L. wz: transgenic plants with full-length BnaPAP2. A7, wz395: transgenic plants with 395 isoform and wz910: transgenic plants with 910 isoforms.
PRJNA554517	SRR9694957	leaf	W395	Transgenic lines (BnaPAP2.A7-Anthocyanin Biosynthesis)	Transcriptome analysis of positive and negative transgenic lines (for BnaPAP2.A7) of Brassica napus L. wz: transgenic plants with full-length BnaPAP2. A7, wz395: transgenic plants with 395 isoform and wz910: transgenic plants with 910 isoforms.
PRJNA554517	SRR9694956	leaf	W910	Transgenic lines (BnaPAP2.A7-Anthocyanin Biosynthesis)	Transcriptome analysis of positive and negative transgenic lines (for BnaPAP2.A7) of Brassica napus L. wz: transgenic plants with full-length BnaPAP2. A7, wz395: transgenic plants with 395 isoform and wz910: transgenic plants with 910 isoforms.
PRJNA554517	SRR9694955	leaf	W910	Transgenic lines (BnaPAP2.A7-Anthocyanin Biosynthesis)	Transcriptome analysis of positive and negative transgenic lines (for BnaPAP2.A7) of Brassica napus L. wz: transgenic plants with full-length BnaPAP2. A7, wz395: transgenic plants with 395 isoform and wz910: transgenic plants with 910 isoforms.
PRJNA554517	SRR9694954	leaf	W910	Transgenic lines (BnaPAP2.A7-Anthocyanin Biosynthesis)	Transcriptome analysis of positive and negative transgenic lines (for BnaPAP2.A7) of Brassica napus L. wz: transgenic plants with full-length BnaPAP2. A7, wz395: transgenic plants with 395 isoform and wz910: transgenic plants with 910 isoforms.
PRJNA554517	SRR9694953	leaf	J9709	Transgenic lines (BnaPAP2.A7-Anthocyanin Biosynthesis)	Transcriptome analysis of positive and negative transgenic lines (for BnaPAP2.A7) of Brassica napus L. wz: transgenic plants with full-length BnaPAP2. A7, wz395: transgenic plants with 395 isoform and wz910: transgenic plants with 910 isoforms.
PRJNA602672	SRR10951023	leaf	HW	leaf epidermis (wax load capacity)	Brassica napus leaf epidermis RNA-seq data in both high wax (HW) load and low wax )LW) load cells
PRJNA602672	SRR10951022	leaf	HW	leaf epidermis (wax load capacity)	Brassica napus leaf epidermis RNA-seq data in both high wax (HW) load and low wax )LW) load cells
PRJNA602672	SRR10951019	leaf	LW	leaf epidermis (wax load capacity)	Brassica napus leaf epidermis RNA-seq data in both high wax (HW) load and low wax )LW) load cells
PRJNA602672	SRR10951020	leaf	LW	leaf epidermis (wax load capacity)	Brassica napus leaf epidermis RNA-seq data in both high wax (HW) load and low wax )LW) load cells
PRJNA602672	SRR10951021	leaf	HW	leaf epidermis (wax load capacity)	Brassica napus leaf epidermis RNA-seq data in both high wax (HW) load and low wax )LW) load cells
PRJNA602672	SRR10951018	leaf	LW	leaf epidermis (wax load capacity)	Brassica napus leaf epidermis RNA-seq data in both high wax (HW) load and low wax )LW) load cells
PRJNA602164	SRR10915210	stem tips	NY18	plant height 	Transcriptome analysis of a candidate gene controlling plant height in Brassica napus L
PRJNA602164	SRR10915209	stem tips	NY18	plant height 	Transcriptome analysis of a candidate gene controlling plant height in Brassica napus L
PRJNA602164	SRR10915208	stem tips	DF59	plant height 	Transcriptome analysis of a candidate gene controlling plant height in Brassica napus L
PRJNA602164	SRR10915207	stem tips	DF59	plant height 	Transcriptome analysis of a candidate gene controlling plant height in Brassica napus L
PRJNA627985	SRR11607781	Anthers	P3-2	Genome stability and polyploid formation	Transcriptome sequencing of mature anthers of Brassica napus (Y3560:synthetic_octoploid16, Y3380: synthetic_octoploid12, P3-2: synthetic_tetraploid8, and ZS11: natural_tetraploid4)
PRJNA627985	SRR11607780	Anthers	P3-2	Genome stability and polyploid formation	Transcriptome sequencing of mature anthers of Brassica napus (Y3560:synthetic_octoploid16, Y3380: synthetic_octoploid12, P3-2: synthetic_tetraploid8, and ZS11: natural_tetraploid4)
PRJNA627985	SRR11607782	Anthers	P3-2_	Genome stability and polyploid formation	Transcriptome sequencing of mature anthers of Brassica napus (Y3560:synthetic_octoploid16, Y3380: synthetic_octoploid12, P3-2: synthetic_tetraploid8, and ZS11: natural_tetraploid4)
PRJNA627985	SRR11607778	Anthers	Y3380	Genome stability and polyploid formation	Transcriptome sequencing of mature anthers of Brassica napus (Y3560:synthetic_octoploid16, Y3380: synthetic_octoploid12, P3-2: synthetic_tetraploid8, and ZS11: natural_tetraploid4)
PRJNA627985	SRR11607791	Anthers	Y3380	Genome stability and polyploid formation	Transcriptome sequencing of mature anthers of Brassica napus (Y3560:synthetic_octoploid16, Y3380: synthetic_octoploid12, P3-2: synthetic_tetraploid8, and ZS11: natural_tetraploid4)
PRJNA627985	SRR11607790	Anthers	Y3380	Genome stability and polyploid formation	Transcriptome sequencing of mature anthers of Brassica napus (Y3560:synthetic_octoploid16, Y3380: synthetic_octoploid12, P3-2: synthetic_tetraploid8, and ZS11: natural_tetraploid4)
PRJNA627985	SRR11607788	Anthers	Y3560	Genome stability and polyploid formation	Transcriptome sequencing of mature anthers of Brassica napus (Y3560:synthetic_octoploid16, Y3380: synthetic_octoploid12, P3-2: synthetic_tetraploid8, and ZS11: natural_tetraploid4)
PRJNA627985	SRR11607787	Anthers	Y3560	Genome stability and polyploid formation	Transcriptome sequencing of mature anthers of Brassica napus (Y3560:synthetic_octoploid16, Y3380: synthetic_octoploid12, P3-2: synthetic_tetraploid8, and ZS11: natural_tetraploid4)
PRJNA627985	SRR11607786	Anthers	Y3560	Genome stability and polyploid formation	Transcriptome sequencing of mature anthers of Brassica napus (Y3560:synthetic_octoploid16, Y3380: synthetic_octoploid12, P3-2: synthetic_tetraploid8, and ZS11: natural_tetraploid4)
PRJNA627985	SRR11607792	Anthers	ZS11	Genome stability and polyploid formation	Transcriptome sequencing of mature anthers of Brassica napus (Y3560:synthetic_octoploid16, Y3380: synthetic_octoploid12, P3-2: synthetic_tetraploid8, and ZS11: natural_tetraploid4)
PRJNA627985	SRR11607785	Anthers	ZS11	Genome stability and polyploid formation	Transcriptome sequencing of mature anthers of Brassica napus (Y3560:synthetic_octoploid16, Y3380: synthetic_octoploid12, P3-2: synthetic_tetraploid8, and ZS11: natural_tetraploid4)
PRJNA627985	SRR11607784	Anthers	ZS11	Genome stability and polyploid formation	Transcriptome sequencing of mature anthers of Brassica napus (Y3560:synthetic_octoploid16, Y3380: synthetic_octoploid12, P3-2: synthetic_tetraploid8, and ZS11: natural_tetraploid4)
